Name,Researcher,Verified By,Twitter,Facebook,YouTube,SPLC,Notes
America's Promise Ministries,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/americas-promise-ministries,
Pioneer Fund,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/pioneer-fund,
Brotherhood of Klans,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/brotherhood-klans,
League of the South,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,
Westboro Baptist Church,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/westboro-baptist-church,
EURO,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/euro,
Aryan Brotherhood of Texas,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-brotherhood-texas,
American Freedom Party,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party,
Blood & Honour,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,
Knights of the Ku Klux Klan,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/knights-ku-klux-klan,
Nation of Islam,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,
National Vanguard,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-vanguard,
American Family Association,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-family-association,
VDARE,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/vdare,
Institute for Historical Review,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/institute-historical-review,
Keystone United,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/keystone-united,
The Social Contract Press,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/social-contract-press,
Nuwaubian Nation of Moors,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/nuwaubian-nation-moors,
Liberty Counsel,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/liberty-counsel,
Traditional Values Coalition,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/traditional-values-coalition,
ACT! for America ,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,
Kingdom Identity Ministries ,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/kingdom-identity-ministries,
Conselho de Pesquisa Familiar,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/conselho-de-pesquisa-familiar,
Stormfront,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/stormfront,
Jewish Defense League,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/jewish-defense-league,
National Coalition for Immigration Reform,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-coalition-immigration-reform,
National Socialist Movement,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,
Family Research Council,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/family-research-council,
Federation for American Immigration Reform,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/federation-american-immigration-reform,
Traditionalist Workers Party,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/traditionalist-workers-party,
American Renaissance,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-renaissance,
Council of Conservative Citizens,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens,
New Black Panther Party,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,
WorldNetDaily,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/worldnetdaily,
Imperial Klans of America,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/imperial-klans-america,
White Revolution,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/white-revolution,
Occidental Quarterly,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/occidental-quarterly,
Conseil de recherche sur la famille,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/conseil-de-recherche-sur-la-famille,
Fundamentalist Church of Jesus Christ of Latter-Day Saints,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/fundamentalist-church-jesus-christ-latter-day-saints,
Aryan Brotherhood,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-brotherhood,
Center for Security Policy,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/center-security-policy,
American Border Patrol/American Patrol,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/american-border-patrolamerican-patrol,
Consejo de Investigación Familiar,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/consejo-de-investigaci%C3%B3n-familiar,
Creativity Movement,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/creativity-movement-0,
Aryan Nations,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-nations,
Vinlanders Social Club,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/vinlanders-social-club,
National Alliance,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/national-alliance,
Barnes Review,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/barnes-review,
Church of the National Knights of the Ku Klux Klan,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/church-national-knights-ku-klux-klan,
Совет исследований по вопросам семьи ,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/%D1%81%D0%BE%D0%B2%D0%B5%D1%82-%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9-%D0%BF%D0%BE-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%B0%D0%BC-%D1%81%D0%B5%D0%BC%D1%8C%D0%B8,
The Creativity Movement,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/creativity-movement,
White Lives Matter,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter,
Scott Lively,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/scott-lively,
Lieutenant General William G. “Jerry” Boykin (Ret.),,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/lieutenant-general-william-g-%E2%80%9Cjerry%E2%80%9D-boykin-ret,
Larry Pratt,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/larry-pratt,
Jean-Philippe  Rushton,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jean-philippe-rushton,
Ron Edwards,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/ron-edwards,
Cliff Kincaid,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/cliff-kincaid,
Paul  Cameron,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-cameron,
William Daniel Johnson,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/william-daniel-johnson,
Sam Francis,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/sam-francis,
Gordon  Baum,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/gordon-baum,
Alex Linder,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-linder,
James Edwards,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/james-edwards,
Morris Gulett,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/morris-gulett,
David Yerushalmi,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-yerushalmi,
Michael Levin,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-levin,
William  Pierce,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/william-pierce,
Barry Black,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/barry-black,
Roger Pearson,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/roger-pearson,
Arthur Jensen,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/arthur-jensen,
Chuck Baldwin,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/chuck-baldwin,
Don  Black,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/don-black,
Richard Lynn,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/richard-lynn,
Kyle Bristow,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kyle-bristow,
Boyd Cathey,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/boyd-cathey,
Louis Beam,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/louis-beam,
Ernst  Zundel,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/ernst-zundel,
Tony Perkins,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tony-perkins,
Paul Fromm,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-fromm,
Garrett Hardin,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/garrett-hardin,
Bryan Fischer,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/bryan-fischer,
Hal Turner,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/hal-turner,
Vincent Bertollini,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/vincent-bertollini,
Fred Phelps,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/fred-phelps,
Bo Gritz,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/bo-gritz,
Peter Brimelow,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/peter-brimelow,
August Kreis,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/august-kreis,
David Lane,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane-0,
Edgar Steele,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/edgar-steele,
William Shockley,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/william-shockley,
Henry Harpending,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/henry-harpending,
Thomas Robb,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,
Andrew Anglin,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/andrew-anglin,
Glenn Spencer,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/glenn-spencer,
Tim Wildmon,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tim-wildmon,
"Gary ""Gerhard"" Lauck",,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/gary-gerhard-lauck,
Kyle Rogers,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kyle-rogers,
John de Nugent,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/john-de-nugent,
Roan Garcia-Quintana,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/roan-garcia-quintana,
Virginia Abernethy,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/virginia-abernethy,
Alex Jones,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,
Erich Gliebe,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/erich-gliebe,
James Timothy Turner,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/james-timothy-turner,
David Barton,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-barton,
Frazier Glenn Miller,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/frazier-glenn-miller,
Ray Redfeairn,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/ray-redfeairn,
Jared Taylor,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jared-taylor,
John Weaver,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/john-weaver,
Mark Weber,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/mark-weber,
Shaun  Walker,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/shaun-walker,
John Tanton,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/john-tanton,
Brien James,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/brien-james,
Larry Klayman,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/larry-klayman,
Paul Ray Ramsey,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/paul-ray-ramsey,
Barbara Coe,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/barbara-coe,
David  Lane,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane,
Bill  White,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/bill-white,
Jeff Berry,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jeff-berry,
April Gaede,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/april-gaede,
Kevin Lamb,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-lamb,
Tom DeWeese,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tom-deweese,
Harry Cooper,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/harry-cooper,
Louis Farrakhan,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/louis-farrakhan,
Michael Brian Vanderboegh,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/michael-brian-vanderboegh-0,
Lou Engle,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/lou-engle,
Jeff Schoep,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/jeff-schoep,
James  Wickstrom,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/james-wickstrom,
Richard Bertrand Spencer,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/richard-bertrand-spencer-0,
Tomislav Sunić,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/tomislav-suni%C4%87,
Kevin MacDonald,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kevin-macdonald,
Malik Zulu Shabazz,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/malik-zulu-shabazz,
David Duke,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-duke,
Kirk  Lyons,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/kirk-lyons,
David Horowitz,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/individual/david-horowitz,
